usernames,reviews,ratings,Polarity,Subjectivity,Sentiment Type
kantu G K,Its good but its bad in battery condition and its has heating issue This mobile is not for heavy mobile user like This is ok for professional person This is for avarage mobile user Who have this mindset brand and society remarks are important So go for Otherwise there are lot of mobiles available with adavance thecnology and with comfortable and better user interface,4.0,0.23,0.56,Positive
ATHAR faisal,To Dear Flipkart Team I hope this email finds you well I am writing to bring to your attention an issue I encountered during my recent access to Urly on 25th September 2024 through my Plus membership On the night of 25th September I eagerly awaited the bigbillion sale and placed an order for an iPhone 15 using my HDFC credit card However despite multiple attempts the order did not go through I eventually made the full payment via Google Pay but noticed discrepancies in the amount ch,3.0,0.12,0.27,Positive
Charan,Mobile heats a lot and battery drain fast,3.0,0.2,0.6,Positive
Hardik Chaudhary,It was on republic sale I got value for money Piece is genuine Camera is best with 48 MP primary lens Performance is very good There are some restrictions otherwise it is very good,5.0,0.72,0.57,Positive
Flipkart Customer,Nice,5.0,0.6,1.0,Positive
Ogam Tayeng,After 4 months Cons 1 Still heats eats up a lot 2 Wifi connection is very poor in this model it fails to connect most of the time automatically where I manually need to search and join the wifi and then again it automatically disconnects I have an iPad air which works fine maybe it s a range issue 3 My keyboard switches automatically from Microsoft SwiftKey to stock ios keyboard Idk what s the issue 4 Need to switch to airplane mode after going out from the wifi range otherwi,3.0,-0.03,0.52,Negative
Manish sinha,I love it,5.0,0.5,0.6,Positive
Varindra Sahu,Best purchase,5.0,1.0,0.3,Positive
seetha Ram,Mobile is good battery is drain fast 1 day 2 time charging I am heavy user but still good,5.0,0.35,0.58,Positive
Flipkart Customer,Only using this for few days here are my pro and cons Pro 1 Form factor is very nice small design 2 Battery life is really good easily 1 day with heavy usage 3 Camera quality is really insane Cons 1 Charging takes too much time 2 60hz display although once you get used to its not much of an issue 3 Some times phone gets hot,5.0,0.06,0.61,Negative
Flipkart Customer,A very good product and also loved it,5.0,0.8,0.79,Positive
Flipkart Customer,Probably best phone to buy under 53k Overall good balanced phone Being a ios device it ll never give you the fun of an Android device Buy only if you want it for professional reasons,5.0,0.35,0.37,Positive
Abi Yuvan,Battery only drain fast Battery health 98 at two month But worth,5.0,0.17,0.57,Positive
jagabandhu jena,Design The iPhone 15 has a satin finished design and a durable glass panel on the front Dynamic Island The Dynamic Island helps with multitasking IP68 ingress protection The iPhone 15 can withstand being submerged in up to 6 meters of fresh water for 30 minutes Stereo speakers The iPhone 15 s stereo speakers are loud and have good sound quality The battery life is lower than expected draining very fast and as usual heating issues there,5.0,0.16,0.45,Positive
Adhitya Ramakrishnan,Everything is awesome Great phone,5.0,0.9,0.88,Positive
Gayatri Godara,If you aree happy if you are feeling good then nothing else matters,5.0,0.75,0.8,Positive
Satyam Singh,Nice phone,5.0,0.6,1.0,Positive
Atul kumar Soni,This is the first time I ve purchased iphone and it s great Performance speed and the feature is good and new update of the IOS having great feature and customizations in the UI,5.0,0.54,0.58,Positive
Santhosh Bachu,Very nice iPhone 15 very good quality very nice display Very nice camera thanks,5.0,0.69,0.8,Positive
pankaj singh,Nice product camera is awesome also light weight,5.0,0.67,0.9,Positive
Gaurav Kumar,Awesome experience in my opinion I am first time iPhone user And can say Camera 10 10 Performance 10 10 Display 10 10 Battery 8 10,5.0,0.62,0.67,Positive
R K,Everything is fine but sometimes it unnecessarily heats up,5.0,0.01,0.7,Negative
Babul Ali,NICE,5.0,0.6,1.0,Positive
ANKIT ANAND,Nice product but battery quality Bad,5.0,-0.05,0.83,Negative
Deepak Meena,Nice prod,5.0,0.6,1.0,Positive
Flipkart Customer,Beast in that price range,5.0,0.0,0.0,Negative
Flipkart Customer,Wonderful performance Camera quality is superb battery backup not that good sound quality is awesome,5.0,0.82,0.8,Positive
Ritu Raj,Best product,5.0,1.0,0.3,Positive
Rupesh jha,Switched from Redmi 12 5G to Iphone 15 It feels like I have never used Phone Totally Worth It and the Feeling of using Iphone is Super Awesome,5.0,0.54,0.59,Positive
PRAKASH MANDAL,Nice prodouct thank you flipkart,5.0,0.6,1.0,Positive
SHUVAM DAS,Switching Android to ios awesome experience I just love it And thanks Flipkart for open box delivery option,5.0,0.42,0.57,Positive
Yadav ajeet Yadav,iPhone 15 better than 16,5.0,0.5,0.5,Positive
Sourajyoti Malakar,What to say about iphone If you have money then buy it,5.0,0.0,0.0,Negative
Vicky Krishna,Am a Android User First Time Switching To IOS Really Its Awesome iphone 15 Camera 5 5 Battery 4 5 Design 5 5 Display 5 5 Speaker 5 5,5.0,0.48,0.51,Positive
MOBARAK SK,All are good,5.0,0.7,0.6,Positive
Flipkart Customer,Initially I missed 120 Hz screen refresh rate after switching from Mi 11x pro to iphone15 It been a month using iPhone 15 accordingly to my experience unless you want to purchase more apple products like Mac book apple watch etc it is not smart decision to buy iphone But I surely appreciated it s small form factor and less weight Battery backup is also good,5.0,0.13,0.33,Positive
Prashanth Reddy,Awesome product and received an original product,5.0,0.69,0.88,Positive
KaryD,Awestruck by its performance,5.0,0.0,0.0,Negative
Biswadeep Roy,Far better than 15pro no finger print even with moisturize hands,5.0,0.3,0.75,Positive
Venkat Ramana,Amazing Just go and buy it blindly if you have enough of money,5.0,0.03,0.69,Negative
Vishnu Singh,Phone is good built lightweight handy camera good quality display great phone is nice if love it s OS and can spend that much,4.0,0.59,0.66,Positive
Ashbin paul Paul,I bought this in big billion days in Flipkart overall the pho,4.0,0.0,0.05,Negative
Shadab Lampsy,Apple as usual Eco system is great Rest all are average for the price but I paid for the ecosystem,4.0,0.13,0.47,Positive
Manoj negi,Phone is good but if u already have an iPhone 12 13 14 then it s not worth upgrading same design and similar performance except dynamic Island which I guarantee you will ever notice or use,4.0,0.11,0.28,Positive
Motam Jamatia,I phone is phone nothing but it s a brand that makes the cost Better should be more improved And it gives heat,4.0,0.5,0.5,Positive
Praveen sarwa,Product is good But worst delivery experience,4.0,-0.15,0.8,Negative
Deepti Rankhambe,Overall performance is best Good aesthetic and nice color Only thing worries me that it gets really hot with increase of brightness and during 15 min video call,4.0,0.42,0.63,Positive
Sandeep Mehta,Phone is great,4.0,0.8,0.75,Positive
Nalinakshya Sahoo,Phone is good Good battery backup upgraded camera But I feel refresh rate should be 90hz atleast,4.0,0.7,0.6,Positive
Amit Tekriwal,The only thing I like about this phone is the camera quality and that is the reason I bought this phone I already have an Android phone which is less than 50 of its price and still is better in every aspect except the camera Well Definitely iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks While iphone 15 only has 60hz screen which feels choppy all other phones have 120 144hz scr,3.0,0.01,0.43,Negative
Baljinder Singh,Too much heat when camera used,3.0,0.2,0.2,Positive
ANKIT kumar,The best part of camera is cinematic video which is fabulous Rest of the things are good but cinematic mode is on next level higher rate is missing which may hurt phone noise cancellation is on Also next level Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad ecosystem work fantastically the best things for this iPhone is much much better,5.0,0.25,0.41,Positive
Suman Chakraborty,awsm phone best performance,5.0,1.0,0.3,Positive
Durga prasad,Good,5.0,0.7,0.6,Positive
anujyadav anuj,Very good product,5.0,0.91,0.78,Positive
Ashwani Mishra,The iPhone 15 features a 48 megapixel main camera sensor It is powered by the A16 Bionic SoC The iPhone 15 now comes with Dynamic I,5.0,0.08,0.25,Negative
Krupansh Patel,Overall Beast Performance 10 10 Just Go For It,5.0,0.0,0.0,Negative
Dev Sarda,The best one from apple,5.0,1.0,0.3,Positive
Naresh Soni,Very good,5.0,0.91,0.78,Positive
Flipkart Customer,Execpt battery everything work awesome,5.0,1.0,1.0,Positive
Sudipto Sarkar,What a phone super performance with light weight Please find my details review as follows 1 Camera camera is super with very gud quality photo even at night as well 2 Battery battery backup is fine and will last for one day long 3 Performance iphone 15 performance is super No lagging and no heating issue Cons 1 Battery could be better at this price range 2 Face recognition is not good as not always open with face ID,5.0,0.19,0.51,Positive
Tekchand Biswal,Nice product The look of the phone is awesome Great to have the iphone black color,5.0,0.56,0.8,Positive
ABDUR RAHMAN,First time experiencing I phone It feels premium and quality is awesome love it,5.0,0.58,0.64,Positive
Santu Rana,I have both galaxy s23 and iphone galaxy is taking 9 10 good photos compared to iphone 7 10 photos Iphone only shine on video For better photo buy galaxy s23 Better video go for iphone,4.0,0.42,0.65,Positive
Dipin Kapoor,I am an iphone user since long I have bought this YELLOW colour But really feel that apple should rethink and rename this colour as GOLDEN YELLOW its edges are slightly on the Golden side as you can see in the pics Additional feature as compare to iphone 13 this has Dynamic Island and camera is superb I am using it for 5 hrs daily not facing any heating issue as such,4.0,0.14,0.31,Positive
Kajal Yadav,I have moved from android to ios iphone 15 is really a good device fulfills all the basic things that needed at daily life Just a note for the battery consumption it drains a bit fast,5.0,0.22,0.33,Positive
vikash kumar,Camera is best quality,5.0,1.0,0.3,Positive
Jishnu Samanta,I recently purchased the iPhone 15 from Flipkart and I m thrilled with my experience The sleek design and vibrant display are stunning and the performance is top notch with its powerful A16 Bionic chip The camera quality is exceptional capturing detailed and vivid photos even in low light Battery life has been impressive easily lasting a full day with heavy use Flipkart s delivery was prompt and the packaging was secure Overall I m extremely satisfied with my purchase and would hig,5.0,0.32,0.61,Positive
Amiya Roy,Upgraded from Iphone 11 worth buying it here are some pros and cons Pros 1 Smooth constant software update 2 6 GB RAM 1 day easily sustainable battery life 3 extremely helpful if you are in apple ecosystem 4 48MP camera is really great if we compare with my I Phone 11 s 12 MP Best video quality 5 don t go for 15 plus or pro model even if you have enough money but 128 GB base model within 65000 RS and use that extra money to buy MacBook AIR or airpod 3rd GEN CONS 1 60HZ disp,5.0,0.18,0.49,Positive
Amish Kumar yadav,All good in this n camera superb,5.0,0.85,0.8,Positive
Himalaya Panwar,Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge Am just loving this phone,5.0,0.49,0.63,Positive
Vamshi Reddy,Amazing Camera and battery,5.0,0.6,0.9,Positive
Ashis Karamakar,Excellent product,5.0,1.0,1.0,Positive
Atul Rasyal,The product is good Prize is excessive due to Apple branding only Battery backup is not up to expectations Flagship Titanium is lacking in it which is available in pro models only At this price the screen should have been 6 8 inches at least,5.0,0.06,0.68,Negative
Abhisekh Kumar,I can say the 60hz doesn t feel 60hz it is very smooth and may be because of apple I was too worried about the 60 hz because I was switching from 120hz Android realme GT master edition to this one but after using iphone 15 I feel lags in my android 120hz But I feel camera quality is avg but videography is next level Love the speaker Quality of display is just wow Charging is also quite good and battery backup is also awesome I am getting 5 6 hr gameplay free fire bgmi from 100 to 25 qui,5.0,0.46,0.66,Positive
SUMIT LOHIA,Click the pic is amazing,5.0,0.6,0.9,Positive
Rahul Banerjee,Awesome Camera too good Display too good Battery Good Feels too good,5.0,0.76,0.68,Positive
Nitin Patil,Look and design very nice,5.0,0.78,1.0,Positive
Flipkart Customer,ok,3.0,0.5,0.5,Positive
Flipkart Customer,Love iphone 15,4.0,0.5,0.6,Positive
Pinaki Ray,Well there is a little bit of hitting issue there not at charging but in general operations From design perspective dynamic island is horribly thick for a 6 1 screen It could have been smarter if the look was a little bit slim What stops apple to increase the battery capacity now a days is beyond explanation The Chinese manufacturers has definitely done a phenomenal job in terms of both the battery and charging There s no trade Off there it s a success for them In software the comp,4.0,0.02,0.35,Negative
Mahipal Gariya,Perfect one to upgrade Edit after 7 months No diappointments build quality good as this has undergone few hard falls Underwater also good Camera quality is awesome Battery is always a issue but it is okay for a person uses 5 6 hours daily Videos are also good in cinematic mode Good update i bought it at 78k when launched But Around 65 it is super deal to do at this time,4.0,0.43,0.53,Positive
Flipkart Customer,Almost good but the battery is overheating i don t know why and it drained very quickly this is the one of the major issues in this phone otherwise all ok but not satisfied with the battery,3.0,0.29,0.65,Positive
Sudip Mandal,Excellent,5.0,1.0,1.0,Positive
vinay mohan som,Amazing phone But Now days Chapri people Drop apple s brand value,5.0,0.6,0.9,Positive
Sabir Khan,Very nice phone im happy very good,5.0,0.83,0.93,Positive
SOURAV NANDI,Amazing This is my second iphone after 11 pro Used it for 3 days till now No heating issue While setting up the device updating ios transferring data it didn t heat at all Smooth experience Best buy for 2024,5.0,0.5,0.42,Positive
Deepsayan Dam,Pros 1 Incredibly smart device this year 2 iOS interface 3 Data Privacy 4 Premium build quality 5 Dynamic Island 6 Ecosystem benefits if you own other Apple devices 7 Powerful processor Cons 1 60Hz refresh rate for a flagship although not very noticeable 2 No improvements to Siri 3 Expensive 4 Low possibility of repair,5.0,0.05,0.56,Negative
Yash,Black colour is just awesome,5.0,0.42,0.72,Positive
Pentakota Pavan,Everything is good Battery backup is hardly 6hrs will come while continuously usage Camera is fantastic In this iphone 60 hz refreshing rate is equals to 120hz refresh rate in android Very light weight,5.0,0.37,0.79,Positive
Kumar Patel,A Mixed Bag of Brilliance The iPhone 15 flaunts an impressive camera setup capturing moments with exceptional clarity and detail However users may encounter heating issues post 80 charge which could disrupt prolonged usage Occasionally screen touch glitches may hamper the otherwise seamless user experience Despite these setbacks the iPhone 15 excels in performance and features The standout Dynamic Island feature enhances productivity and personalization Overall the iPhone 15 is a,4.0,0.25,0.38,Positive
Anbu natarajan S,This phone are not only for show off these are the real master peice for content creators and reels creators All or good but camara will nailed it the one and only negative is battery That s all thankyou,5.0,0.12,0.66,Positive
Abhijit Das,Battery is decent and Display performance and Camera top notch and overall value for money phone,5.0,0.22,0.39,Positive
Mithilesh Kumar Sharma,Kidney to gya One kidney for i phone And one for i phone accessories,5.0,0.0,0.0,Negative
Akash Banik,Awesomeness Cellphone This is my first IOS and the experience is fantastic I am loving it The videography is to next level Very Happy,5.0,0.45,0.64,Positive
Droonacharjya Chakraborty,Good one,5.0,0.7,0.6,Positive
Zubair Khan,I am very happy with the sevice of Flipkart and product was very good thanks Flipkart,5.0,0.7,0.66,Positive
Abhishek Prajapati,All is well but battery health is draining very fast,5.0,0.26,0.78,Positive
Chandresh Kumar,My first iPhone and just love it,5.0,0.38,0.47,Positive
Aravind Ponugoti,Perfect upgrade from 13 An incredible device that delivers everything I could want The design is sleek and lightweight with the new Dynamic Island feature The camera is a standout photos and videos look professional with excellent low light performance and vibrant colors The A16 Bionic chip ensures lightning fast performance whether I m gaming editing videos or running multiple apps Battery life is also impressive easily lasting a full day with moderate use,5.0,0.35,0.52,Positive
Prashant Gupta,Best iPhone upgrade after the iPhone 14 I got this in Big Billion Day Sale for 53k I m reviewing this phone after 3 months The Camera and display quality is amazing But I switched from a 120 Hz display android phone so it took me a while to adapt to this one But looking at a overall scenario it is a decent phone with clean UI I ve been liking iOS now and will definitely upgrade to iOS in future The battery is not upto the mark but it does the job pretty well I liked the automations an,5.0,0.3,0.51,Positive
Rishi Raj,All and all a beast The only thing which can be improved is battery,5.0,0.0,1.0,Negative
Teddy Bear,Recently bought this phone and realized why Apple make the best phones in the world One of the most beautiful purchase I ever made,5.0,0.59,0.51,Positive
Khajahusain Hebbal,Mashallah Great phone last time braught IPhone 12 for face unlock with mask this is worth upgrade planning to keep at least 3 years thank you team flipkart for great offer,5.0,0.32,0.41,Positive
Akassh Ambaade,The iPhone 15 is simply amazing The design is sleek and the slightly curved edges make it feel great in the hand The display is bright sharp and stunning everything looks fantastic on it whether watching videos or scrolling through photos The camera upgrades are noticeable especially in low light and impressed by the level of detail in every shot Performance is super smooth with no lag even when running multiple apps,5.0,0.37,0.67,Positive
Sanjay Kumar Jain,Thanks to flipkart service nice open box delivery IPhone 15 performance is great and so smooth,5.0,0.4,0.59,Positive
Deb Neogi,At the time of sale it was the best deal for me intented to buy pixel 8 but went for iphone 15 was really worth it Performance user experience camera design is undoubtedly excellent the only drawback is the battery life which sustains for only 6 7 hours and in daily life have to charge 2 times As a flagship phone it could be a better but noting is perfect without the battery issue in every aspect it is value for money,5.0,0.47,0.61,Positive
Thakur Rakesh,Great,5.0,0.8,0.75,Positive
Divya,Great product and I would really recommend this device to anyone who wants to use a phone for a long time if Apple is making an expensive product then they will deliver a quality I have been using the apple devices since 2009 till now Awesome experience thanks to Apple,5.0,0.26,0.48,Positive
Flipkart Customer,In 51500 it s the best option,5.0,1.0,0.3,Positive
Gajendra Singh,Very good,5.0,0.91,0.78,Positive
Anil Kumar,Nice product but poor packaging from flipkart,5.0,0.1,0.8,Positive
Mr. Kadir,I phone 15 amezing phone i am very happy for buy this phone amezing feature cemara supp,5.0,1.0,1.0,Positive
Flipkart Customer,Only one word GREAT GREAT GREATER,5.0,0.53,0.75,Positive
Flipkart Customer,Go the best deal on Flipkart Thanks Flipkart team for such offers,5.0,0.33,0.25,Positive
Anubhav baliyan,Best phone,5.0,1.0,0.3,Positive
shivam singh,Switched from Android to iOS it was such a smooth experience,5.0,0.2,0.5,Positive
Dr Anita jadhav,Loved it,5.0,0.7,0.8,Positive
Parvindar Singh,Best camera ever for photos,5.0,1.0,0.3,Positive
Ataur Rahaman,Originally product like store no difference I had check in apple website all thing is like store or shop And 5000 save money thank you Flipkart,5.0,0.38,0.75,Positive
Suresh J,Great product from apple thank u apple team 1 Camer great 2 Display fantastic 3 Performance next level 4 Battery super 5 Design great,5.0,0.52,0.64,Positive
Varun giri,Best,5.0,1.0,0.3,Positive
Yuvraj Singh,Excellent,5.0,1.0,1.0,Positive
Dhiraj Singh,I have used iPhone for 20 days already and it was a great experience with Flipkart including purchase of iPhone with replacement of old phone was pretty smooth The phone is awesome and since its iPhone it doesn t require any review,5.0,0.51,0.69,Positive
Sanzeed Aman,Awesome Deal Best camera,5.0,1.0,0.65,Positive
Flipkart Customer,Excellent Device Camera PORTRAIT NEXT LEVEL Performance Battery I just loved it WORTH IT,5.0,0.5,0.48,Positive
Prajwal Suryan,Awesome phone camera build battery lasts 1 day easily overall met my expectations,5.0,0.5,0.5,Positive
Sahaj Modi,Amazing Camera and Nice Colour,5.0,0.6,0.95,Positive
Amit Srivastava,It is the best iPhone that I have ever seen after iPhone 13 Its camera quality is so amazing Especially HIEF MAX mode Its bes iPhone after 15 pro,5.0,0.53,0.73,Positive
